Teams,Total Matches,Wins Team 1,Wins Team 2,Draws
Mozambique vs Nigeria,2,0,2,0
Mozambique vs Rwanda,5,0,5,0
Mozambique vs Seychelles,1,1,0,0
Mozambique vs Sierra Leone,2,0,2,0
Mozambique vs Tanzania,3,2,1,0
Mozambique vs Uganda,1,1,0,0
Mozambique vs Zimbabwe,2,1,1,0
Myanmar vs Singapore,8,1,7,0
Myanmar vs Thailand,2,1,1,0
Namibia vs Nepal,10,5,4,1
Namibia vs Netherlands,12,4,7,1
Namibia vs New Zealand,1,1,0,0
Namibia vs Nigeria,7,4,3,0
Namibia vs Oman,17,8,8,1
Namibia vs Pakistan,1,1,0,0
Namibia vs Papua New Guinea,9,5,4,0
Namibia vs Rwanda,3,3,0,0
Namibia vs Scotland,12,5,7,0
Namibia vs Sierra Leone,3,1,2,0
Namibia vs Singapore,1,1,0,0
Namibia vs South Africa,1,1,0,0
Namibia vs Sri Lanka,2,1,1,0
Namibia vs Tanzania,3,1,2,0
Namibia vs Thailand,3,1,2,0
Namibia vs Uganda,17,9,8,0
Namibia vs United Arab Emirates,23,8,15,0
Namibia vs United States of America,13,8,5,0
Namibia vs Zimbabwe,23,9,14,0
Nepal vs Netherlands,17,7,9,1
Nepal vs Oman,16,7,8,1
Nepal vs Pakistan,2,1,1,0
Nepal vs Papua New Guinea,15,8,7,0
Nepal vs Philippines,1,1,0,0
Nepal vs Qatar,6,4,2,0
Nepal vs Saudi Arabia,1,0,1,0
Nepal vs Scotland,8,0,7,1
Nepal vs Singapore,3,1,2,0
Nepal vs South Africa,1,1,0,0
Nepal vs Tanzania,1,1,0,0
Nepal vs Thailand,6,3,3,0
Nepal vs Uganda,5,3,2,0
Nepal vs United Arab Emirates,29,13,15,1
Nepal vs United States of America,10,5,3,2
Nepal vs West Indies,1,1,0,0
Nepal vs Zimbabwe,3,0,3,0
Netherlands vs New Zealand,6,4,2,0
Netherlands vs Oman,9,6,3,0
