venue,win_by_runs,win_by_wickets,matches_played
"Windsor Park, Roseau, Dominica",58.666666666666664,0.0,3
"Woodley Cricket Field, Los Angeles",46.583333333333336,1.5833333333333333,12
YMCA Cricket Club,40.5,2.3333333333333335,6
"YSD-UKM Cricket Oval, Bangi",35.391304347826086,3.4782608695652173,23
Yeonhui Cricket Ground,22.4,0.4,5
"Yeonhui Cricket Ground, Incheon",42.22222222222222,1.1666666666666667,18
Zahur Ahmed Chowdhury Stadium,20.416666666666668,3.0833333333333335,12
"Zahur Ahmed Chowdhury Stadium, Chattogram",54.45,2.65,20
"Zayed Cricket Stadium, Abu Dhabi",28.566666666666666,4.033333333333333,30
Zhejiang University of Technology Cricket Field,23.25,3.95,20
