venue,win_by_runs,win_by_wickets,matches_played,venue_category
"R.Premadasa Stadium, Khettarama",45.833333333333336,3.055555555555556,18,Balanced
"Rajiv Gandhi International Stadium, Uppal",52.0,5.5,4,Balanced
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",50.42857142857143,1.7142857142857142,7,Batting-Friendly
Rangiri Dambulla International Stadium,24.864864864864863,3.864864864864865,37,Balanced
Rawalpindi Cricket Stadium,10.863636363636363,4.090909090909091,22,Bowling-Friendly
"Ray Mitchell Oval, Harrup Park, Mackay",0.0,5.333333333333333,3,Bowling-Friendly
"Reforma Athletic Club, Naucalpan",1.4,5.2,5,Bowling-Friendly
Reliance Stadium,13.2,4.2,5,Bowling-Friendly
Riverside Ground,23.285714285714285,3.857142857142857,7,Balanced
"Riverside Ground, Chester-le-Street",15.428571428571429,5.285714285714286,7,Bowling-Friendly
"Riverway Stadium, Townsville",0.0,3.0,1,Balanced
Roma Cricket Ground,29.75,2.6666666666666665,12,Balanced
"Royal Brussels Cricket Club Ground, Waterloo",19.7,3.5,10,Balanced
Royal Chiangmai Golf Club,29.75,3.375,8,Balanced
Royal Selangor Club,50.5,3.333333333333333,6,Balanced
"Royal Selangor Club, Kuala Lumpur",43.5,2.833333333333333,6,Batting-Friendly
"Ruaraka Sports Club Ground, Nairobi",103.83333333333331,2.5,6,Batting-Friendly
"Sabina Park, Jamaica",257.0,0.0,1,Batting-Friendly
"Sabina Park, Kingston",73.83333333333333,4.0,6,Balanced
"Sabina Park, Kingston, Jamaica",31.75,2.0,12,Batting-Friendly
San Albano,296.0,0.0,2,Batting-Friendly
Sano International Cricket Ground,60.05263157894737,2.3157894736842106,19,Batting-Friendly
Santarem Cricket Ground,41.333333333333336,3.333333333333333,3,Balanced
Sao Fernando Polo and Cricket Club,3.5,4.0,2,Balanced
Saurashtra Cricket Association Stadium,61.0,1.3333333333333333,6,Batting-Friendly
"Saurashtra Cricket Association Stadium, Rajkot",139.875,0.75,8,Batting-Friendly
"Sawai Mansingh Stadium, Jaipur",0.0,5.0,1,Bowling-Friendly
Saxton Oval,18.357142857142858,3.5,14,Balanced
"Saxton Oval, Nelson",6.25,1.75,4,Balanced
"Scott Page Field, Vinor",21.42105263157895,3.473684210526316,19,Balanced
Seddon Park,25.12903225806452,3.3548387096774195,31,Balanced
"Seddon Park, Hamilton",66.33333333333333,1.6666666666666667,18,Batting-Friendly
"Sedgars Park, Potchefstroom",111.0,0.0,1,Batting-Friendly
Seebarn Cricket Centre,88.5,2.5,4,Batting-Friendly
"Seebarn Cricket Centre, Lower Austria",82.0,0.0,1,Batting-Friendly
"Selangor Turf Club, Kuala Lumpur",14.142857142857142,4.523809523809524,21,Bowling-Friendly
Senwes Park,43.8235294117647,4.294117647058823,17,Balanced
